,Finance Year,Dispatch Date,Month,Business,Customer name,Marketing Rep.,Type,Pack Cat,Pack Type,Uni - Blend,Quantity (Kg),CY QTY (MT),Value (₹),CY Val(Lakhs),Destination,Country,Region,Budget Vol(MT),Budget Value (₹),Budget Val(Lakhs),LY QTY (MT),LY Val(Lakhs)
10764,FY'2024-25,2024-04-01,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-1562,18750.0,18.75,13453125.0,134.53125,"PORT KLANG, MALAYSIA",MALAYSIA,Rest of Asia,,,,,
10771,FY'2024-25,2024-04-01,APR,NCL,MOKATE,Balaji,SD,Bulk,Big Bag,G-2154,17600.0,17.6,8514880.0,85.1488,"HAMBURG, GERMANY",GERMANY,EU,,,,,
10772,FY'2024-25,2024-04-01,APR,NCL,MOKATE,Balaji,SD,Bulk,Big Bag,G-2154,17600.0,17.6,8514880.0,85.1488,"HAMBURG, GERMANY",GERMANY,EU,,,,,
10773,FY'2024-25,2024-04-01,APR,NCL,MOKATE,Balaji,SD,Bulk,Big Bag,G-2154,17600.0,17.6,8514880.0,85.1488,"HAMBURG, GERMANY",GERMANY,EU,,,,,
10774,FY'2024-25,2024-04-01,APR,NCL,MOKATE,Balaji,SD,Bulk,Big Bag,G-2154,17600.0,17.6,8514880.0,85.1488,"HAMBURG, GERMANY",GERMANY,EU,,,,,
10775,FY'2024-25,2024-04-01,APR,NCL,MOKATE,Balaji,SD,Bulk,Big Bag,G-2154,17600.0,17.6,8514880.0,85.1488,"HAMBURG, GERMANY",GERMANY,EU,,,,,
10823,FY'2024-25,2024-04-01,APR,EOU-Export,JUMBO BRANDS,Ravi Sai,SD,Bulk,Bulk,CCL3,7750.0,7.75,6482100.0,64.821,DURBAN,SOUTH AFRICA,AMEA,,,,,
10838,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA POLAND,Balaji,FD,Bulk,Bulk,CCL FD/5 RA,16790.0,16.79,11385970.6,113.859706,GDYNIA,POLAND,EU,,,,,
10839,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA POLAND,Balaji,FD,Bulk,Bulk,CCL FD/5 RA,16790.0,16.79,11385970.6,113.859706,GDYNIA,POLAND,EU,,,,,
10840,FY'2024-25,2024-04-01,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,FC/1,18750.0,18.75,12346125.0,123.46125,LOS ANGELES,USA,NAR,,,,,
10841,FY'2024-25,2024-04-01,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,FC/1 RFA,18750.0,18.75,12699750.0,126.9975,NEW YORK,USA,NAR,,,,,
10842,FY'2024-25,2024-04-01,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Small,Jar,SDCB-132,6985.44,6.98544,9382563.5904,93.825635904,NEW YORK,USA,NAR,,,,,
10843,FY'2024-25,2024-04-01,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,FC/1,18750.0,18.75,12346125.0,123.46125,LOS ANGELES,USA,NAR,,,,,
10844,FY'2024-25,2024-04-01,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,FC/1,9875.0,9.875,6502292.5,65.022925,LOS ANGELES,USA,NAR,,,,,
10845,FY'2024-25,2024-04-01,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,FC/1,8875.0,8.875,6469697.5,64.696975,LOS ANGELES,USA,NAR,,,,,
10869,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,FD,Bulk,Bulk,CCL FD/Chicory,17500.0,17.5,11193000.0,111.93,AMBARLI,TURKEY,AMEA,,,,,
10870,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,FD,Bulk,Bulk,CCL FD/Chicory,17500.0,17.5,9686250.0,96.8625,AMBARLI,TURKEY,AMEA,,,,,
10871,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,FD,Bulk,Bulk,CCL FD/Chicory,17500.0,17.5,9686250.0,96.8625,AMBARLI,TURKEY,AMEA,,,,,
10876,FY'2024-25,2024-04-01,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,FC/1 RFA,18750.0,18.75,12699750.0,126.9975,NEW YORK,USA,NAR,,,,,
10882,FY'2024-25,2024-04-01,APR,NCL,CRASTAN S.P.A.,Balaji,SD,Bulk,Bulk,G-1911,17875.0,17.875,12312300.0,123.123,"GENOA, ITALY",ITALY,EU,,,,,
10887,FY'2024-25,2024-04-01,APR,EOU-Export,STE GOLDEN FOODS,Prabin,SD,Bulk,Bulk,DH69,18750.0,18.75,8458384.375,84.58384375,RADES PORT,TUNISIA,AMEA,,,,,
10890,FY'2024-25,2024-04-01,APR,EOU-Export,SWEET ZONE SARL,Prabin,AG,Small,Jar,DE73,8040.0,8.04,7809834.9,78.098349,BEIRUT,LEBANON,Rest of Asia,,,,,
10893,FY'2024-25,2024-04-01,APR,EOU-Export,FRESH FOOD PTY LTD,Ravi Sai,SD,Bulk,Big Bag,RSP-2763,12100.0,12.1,10758382.25,107.5838225,SYDNEY,AUSTRALIA,Oceania,,,,,
10894,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA-RUSSIA,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,SAINT PETERSBURG,RUSSIA,CIS,,,,,
10895,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA-RUSSIA,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,SAINT PETERSBURG,RUSSIA,CIS,,,,,
10896,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA-RUSSIA,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,SAINT PETERSBURG,RUSSIA,CIS,,,,,
10897,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA-RUSSIA,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,SAINT PETERSBURG,RUSSIA,CIS,,,,,
10898,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA-RUSSIA,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,SAINT PETERSBURG,RUSSIA,CIS,,,,,
10899,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA POLAND,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,GDYNIA,POLAND,EU,,,,,
10900,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA POLAND,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,GDYNIA,POLAND,EU,,,,,
10901,FY'2024-25,2024-04-01,APR,SEZ,INSTANTA POLAND,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,11047820.0,110.4782,GDYNIA,POLAND,EU,,,,,
10903,FY'2024-25,2024-04-01,APR,EOU-Export,BELMONT TRADE & COMMERCE LLP,Prabin,FD,Small,Stick,DF80,5680.5,5.6805,7018595.739750001,70.1859573975,CALLAO,PERU,NAR,,,,,
10904,FY'2024-25,2024-04-01,APR,EOU-Export,OPULENCE INTERNATIONAL LIMITED,Prabin,AG,Small,Can,G-2449,10800.0,10.8,7772625.0,77.72625,CONAKRY,GUINEA,AMEA,,,,,
10905,FY'2024-25,2024-04-01,APR,EOU-Export,UNIVERSAL COLD STORES,Prabin,AG,Small,Jar,G-5032,6686.4,6.6864,6797461.103999999,67.97461104,DAMMAM,SAUDI ARABIA,AMEA,,,,,
10906,FY'2024-25,2024-04-01,APR,EOU-Export,UNIVERSAL COLD STORES,Prabin,AG,Small,Jar,G-5032,7680.0,7.68,7396972.8,73.969728,DAMMAM,SAUDI ARABIA,AMEA,,,,,
10907,FY'2024-25,2024-04-01,APR,EOU-Export,SUNTY,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10564477.875,105.64477875,ST.PETERSBURG,RUSSIA,CIS,,,,,
10908,FY'2024-25,2024-04-01,APR,EOU-Export,SUNTY,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10564477.875,105.64477875,ST.PETERSBURG,RUSSIA,CIS,,,,,
10910,FY'2024-25,2024-04-01,APR,EOU-Export,OPULENCE INTERNATIONAL LIMITED,Prabin,AG,Small,Stick,G-2449,4200.0,4.2,4124673.0,41.24673,CONAKRY,GUINEA,AMEA,,,,,
10912,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,SD,Bulk,Bulk,G-1169,18000.0,18.0,11636730.0,116.3673,MERSIN,TURKEY,AMEA,,,,,
10913,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,SD,Bulk,Bulk,DJ87,18750.0,18.75,10008316.875,100.08316875,JEBEL ALI,UAE,AMEA,,,,,
10914,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,SD,Bulk,Bulk,DJ87,18750.0,18.75,10008316.875,100.08316875,JEBEL ALI,UAE,AMEA,,,,,
10915,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,SD,Bulk,Bulk,G-3518,18000.0,18.0,11621925.0,116.21925,MERSIN,TURKEY,AMEA,,,,,
10917,FY'2024-25,2024-04-01,APR,EOU-Export,SUNTY,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10564477.875,105.64477875,ST.PETERSBURG,RUSSIA,CIS,,,,,
10918,FY'2024-25,2024-04-01,APR,EOU-Export,SUNTY,Balaji,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10564477.875,105.64477875,ST.PETERSBURG,RUSSIA,CIS,,,,,
10920,FY'2024-25,2024-04-01,APR,EOU-Export,KORAY,Ravi Sai,SD,Bulk,Bulk,G-1169,18000.0,18.0,11621925.0,116.21925,MERSIN,TURKEY,AMEA,,,,,
10921,FY'2024-25,2024-03-31,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,CCL FD/5,5443.2,5.4432,5719475.0592,57.194750592,LES VERRIERES,SWITZERLAND,EU,,,,,
10926,FY'2024-25,2024-04-01,APR,NCL,BUTTERFIELD (M) SDN BHD,Balaji,SD,Bulk,Bulk,G-2577,18750.0,18.75,10147500.0,101.475,"PENANG , MALAYSIA",MALAYSIA,Rest of Asia,,,,,
10928,FY'2024-25,2024-04-01,APR,NCL,STRAUSS,Ravi Sai,SD,Bulk,Bulk,G-2680,18750.0,18.75,12453750.0,124.5375,"CONSTANTA, ROMANIA",ROMANIA,CIS,,,,,
10929,FY'2024-25,2024-04-01,APR,NCL,GROUNDUP,Yashwanth,SD,Bulk,Bulk,NCL- DR/5,18750.0,18.75,11792625.0,117.92625,"LOS ANGELES, CA",USA,NAR,,,,,
10930,FY'2024-25,2024-04-01,APR,NCL,GROUNDUP,Yashwanth,SD,Bulk,Bulk,NCL- DR/5,75000.0,75.0,46555500.0,465.555,"LOS ANGELES, CA",USA,NAR,,,,,
10933,FY'2024-25,2024-04-02,APR,NCL,M.A.I.F. TRADING,Prabin,SD,Bulk,Bulk,G-1875,18750.0,18.75,15048937.5,150.489375,"BANGKOK, THAILAND",THAILAND,Rest of Asia,,,,,
10934,FY'2024-25,2024-04-02,APR,NCL,GROUNDUP,Yashwanth,SD,Bulk,Bulk,NCL- SD/5 RFA,37500.0,37.5,23904000.0,239.04,"NEW YORK, USA",USA,NAR,,,,,
10935,FY'2024-25,2024-04-02,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,FC/1 RFA,18750.0,18.75,12738468.75,127.3846875,NEW YORK,USA,NAR,,,,,
10936,FY'2024-25,2024-04-02,APR,EOU-Export,SUCAFINA UK,Revanth,FD,Small,Can,RFM-3301,6426.0,6.426,8525326.004999999,85.25326005,LONDON GATEWAY,UK,EU,,,,,
10944,FY'2024-25,2024-04-02,APR,SEZ,INSTANTA POLAND,Balaji,FD,Bulk,Bulk,CCL FD/5 RA,16790.0,16.79,11420684.0,114.20684,GDYNIA,POLAND,EU,,,,,
10945,FY'2024-25,2024-04-03,APR,EOU-Export,CCSA,Revanth,FD,Small,Pouch,CCL FD/5,7360.0,7.36,7095676.639999999,70.95676639999999,LES VERRIERES,SWITZERLAND,EU,,,,,
10946,FY'2024-25,2024-04-03,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,4838.4,4.8384,5330395.123199999,53.303951231999996,LES VERRIERES,SWITZERLAND,EU,,,,,
10947,FY'2024-25,2024-04-03,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,4838.4,4.8384,5330395.123199999,53.303951231999996,LES VERRIERES,SWITZERLAND,EU,,,,,
10957,FY'2024-25,2024-04-04,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,4838.4,4.8384,5330395.123199999,53.303951231999996,LES VERRIERES,SWITZERLAND,EU,,,,,
10958,FY'2024-25,2024-04-04,APR,EOU-Export,SUCAFINA UK,Revanth,FD,Small,Can,RFM-3301,6426.0,6.426,8525326.004999999,85.25326005,LONDON GATEWAY,UK,EU,,,,,
10959,FY'2024-25,2024-04-04,APR,EOU-Export,SUCAFINA UK,Revanth,FD,Small,Can,DK89,6120.0,6.12,7570684.799999999,75.706848,LONDON GATEWAY,UK,EU,,,,,
10960,FY'2024-25,2024-04-04,APR,EOU-Export,SUCAFINA UK,Revanth,FD,Small,Can,RFM-3301,6426.0,6.426,8350908.3,83.509083,LONDON GATEWAY,UK,EU,,,,,
10961,FY'2024-25,2024-04-04,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,4838.4,4.8384,5330395.123199999,53.303951231999996,LES VERRIERES,SWITZERLAND,EU,,,,,
10971,FY'2024-25,2024-04-04,APR,NCL,TNI KING COFFEE CO. LTD.,Ravi Sai,SD,Bulk,Bulk,G-622,12500.0,12.5,7667125.0,76.67125,BINH DUONG VIETNAM,VIETNAM,Rest of Asia,,,,,
10972,FY'2024-25,2024-04-06,APR,NCL,SHANGHAI HUAKAI,Prabin,SD,Bulk,Bulk,HK-1376,3000.0,3.0,1120500.0,11.205,"SHANGHAI, CHINA",CHINA,Rest of Asia,,,,,
10973,FY'2024-25,2024-04-06,APR,NCL,SHANGHAI HUAKAI,Prabin,SD,Bulk,Bulk,HK-1376,8000.0,8.0,4316000.0,43.16,"SHANGHAI, CHINA",CHINA,Rest of Asia,,,,,
10974,FY'2024-25,2024-04-06,APR,NCL,SHANGHAI HUAKAI,Prabin,SD,Bulk,Bulk,HK-626,11000.0,11.0,7632680.0,76.3268,"SHANGHAI, CHINA",CHINA,Rest of Asia,,,,,
10975,FY'2024-25,2024-04-05,APR,EOU-Export,BELMONT TRADE & COMMERCE LLP,Prabin,FD,Small,Stick,DF80,5680.5,5.6805,7018595.739750001,70.1859573975,CALLAO,PERU,NAR,,,,,
10976,FY'2024-25,2024-04-05,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,5443.2,5.4432,5481163.5984,54.811635984,ASHDOD,ISRAEL,AMEA,,,,,
11008,FY'2024-25,2024-04-06,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,5443.2,5.4432,5481163.5984,54.811635984,ASHDOD,ISRAEL,AMEA,,,,,
11018,FY'2024-25,2024-04-07,APR,EOU-Export,SHINEMATE CO LTD,Balaji,SD,Bulk,Bulk,SM 3023,18750.0,18.75,14202037.499999998,142.02037499999997,KAOHSIUNG,TAIWAN,Rest of Asia,,,,,
11019,FY'2024-25,2024-04-07,APR,EOU-Export,CCSA,Revanth,SD,Small,Stick,DJ46,3628.8,3.6288,4444704.835200001,44.447048352,LES VERRIERES,SWITZERLAND,EU,,,,,
11020,FY'2024-25,2024-04-07,APR,EOU-Export,SHINEMATE CO LTD,Balaji,SD,Bulk,Bulk,SM 3023,18750.0,18.75,14202037.499999998,142.02037499999997,KAOHSIUNG,TAIWAN,Rest of Asia,,,,,
11021,FY'2024-25,2024-04-08,APR,EOU-Export,SHINEMATE CO LTD,Balaji,SD,Bulk,Bulk,LM-529003,18750.0,18.75,14217524.999999998,142.17524999999998,CHENNAI,CHINA,Rest of Asia,,,,,
11035,FY'2024-25,2024-04-08,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-236,10000.0,10.0,8457700.0,84.577,"PORT KLANG, MALAYSIA",MALAYSIA,Rest of Asia,,,,,
11036,FY'2024-25,2024-04-08,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-236,8750.0,8.75,7400487.5,74.004875,"PORT KLANG, MALAYSIA",MALAYSIA,Rest of Asia,,,,,
11037,FY'2024-25,2024-04-08,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-236,18750.0,18.75,15858187.5,158.581875,"PORT KLANG, MALAYSIA",MALAYSIA,Rest of Asia,,,,,
